"Chemical","2003","2005","2007","2009","2011","2013","2015","2017"
"ALB_CR","NOT COLLECTED","NOT COLLECTED","NOT COLLECTED","NOT COLLECTED","NOT COLLECTED","NOT COLLECTED","NOT COLLECTED","NOT COLLECTED"
"PBCD","NOT COLLECTED","NOT COLLECTED","NOT COLLECTED","NOT COLLECTED","NOT COLLECTED","NOT COLLECTED","NOT COLLECTED","NOT COLLECTED"
"IHGEM","NOT COLLECTED","NOT COLLECTED","NOT COLLECTED","NOT COLLECTED","NOT COLLECTED","NOT COLLECTED","NOT COLLECTED","NOT COLLECTED"
"UHG","NOT COLLECTED","NOT COLLECTED","NOT COLLECTED","NOT COLLECTED","NOT COLLECTED","NOT COLLECTED","NOT COLLECTED","NOT COLLECTED"
"VOCWB","NOT COLLECTED","NOT COLLECTED","NOT COLLECTED","NOT COLLECTED","NOT COLLECTED","NOT COLLECTED","NOT COLLECTED","NOT COLLECTED"
"PFAS","NOT COLLECTED","NOT COLLECTED","NOT COLLECTED","NOT COLLECTED","NOT COLLECTED","NOT COLLECTED","NOT COLLECTED","NOT COLLECTED"
"PHTHTE","NOT COLLECTED","NOT COLLECTED","NOT COLLECTED","NOT COLLECTED","NOT COLLECTED","NOT COLLECTED","NOT COLLECTED","NOT COLLECTED"
"SSPFAS","NOT COLLECTED","NOT COLLECTED","NOT COLLECTED","NOT COLLECTED","NOT COLLECTED","NOT COLLECTED","NOT COLLECTED","NOT COLLECTED"
"OPD","NOT COLLECTED","NOT COLLECTED","NOT COLLECTED","NOT COLLECTED","NOT COLLECTED","NOT COLLECTED","NOT COLLECTED","NOT COLLECTED"
"PERNT","NOT COLLECTED","NOT COLLECTED","NOT COLLECTED","NOT COLLECTED","NOT COLLECTED","NOT COLLECTED","NOT COLLECTED","NOT COLLECTED"
"UVOC","NOT COLLECTED","NOT COLLECTED","NOT COLLECTED","NOT COLLECTED","NOT COLLECTED","NOT COLLECTED","NOT COLLECTED","NOT COLLECTED"
"SSUVOC","NOT COLLECTED","NOT COLLECTED","NOT COLLECTED","NOT COLLECTED","NOT COLLECTED","NOT COLLECTED","NOT COLLECTED","NOT COLLECTED"
"UPHOPM","NOT COLLECTED","NOT COLLECTED","NOT COLLECTED","NOT COLLECTED","NOT COLLECTED","NOT COLLECTED","NOT COLLECTED","NOT COLLECTED"
"SSUVCM","NOT COLLECTED","NOT COLLECTED","NOT COLLECTED","NOT COLLECTED","NOT COLLECTED","NOT COLLECTED","NOT COLLECTED","NOT COLLECTED"
"PAH","NOT COLLECTED","NOT COLLECTED","NOT COLLECTED","NOT COLLECTED","NOT COLLECTED","NOT COLLECTED","NOT COLLECTED","NOT COLLECTED"
